"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"WDPRBUS","198606","210.444","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198607","217.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198608","217.76","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198609","210.699","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198610","217.574","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198611","210.647","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198612","217.863","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198613","2562.134","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198701","209.176","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198702","188.924","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198703","209.117","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198704","202.254","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198705","208.99","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198706","202.596","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198707","209.335","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198708","209.365","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198709","202.52","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198710","209.112","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198711","202.462","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198712","209.308","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198713","2463.159","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198801","218.368","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198802","204.246","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198803","218.351","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198804","211.122","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198805","217.825","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198806","211.242","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198807","218.272","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198808","218.415","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198809","211.218","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198810","218.198","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198811","211.191","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198812","218.215","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198813","2576.663","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198901","231.17","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198902","211.272","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198903","236.6","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198904","218.29","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198905","200.711","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198906","208.439","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198907","217.404","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198908","234.088","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198909","220.479","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198910","230.492","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198911","231.613","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198912","239.066","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198913","2679.623","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199001","193.411","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199002","186.722","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199003","199.565","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199004","190.159","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199005","166.803","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199006","134.939","1","Wood Energy Production","Trillion Btu"
